id,單字,组词,原註,罕度
1167,斧,斧頭(斧头),,0
1170,俯,俯視(俯视),,0
1171,父,父親(父亲),,0
1172,府,政府,,0
1175,腐,腐敗(腐败),,0
1176,輔,輔助(辅助),,0
1177,武,武器,,0
1178,侮,侮辱,,0
1180,舞,舞蹈,,0
1181,撫,撫摸(抚摸),,0
1182,剖,解剖,,0
1183,屢,屢次(屡次),,0
1184,足,足跡(足迹),足跡,0
1185,足,足恭,足恭,0
1186,駐,駐紮(驻扎),,0
1187,逗,逗留,,0
1188,住,居住,,0
1189,註,註釋(注释),,0
1191,鑄,鑄造(铸造),,0
1192,注,注意,,0
1194,遇,遇見(遇见),,0
1200,裕,富裕,,0
1201,付,支付,,0
1202,搏,搏鬥(搏斗),,0
1203,傅,師傅(师傅),師傅,0
1204,傅,傅粉施朱,傅粉施朱,0
1206,附,附近,,0
1208,務,任務(任务),,0
1209,霧,煙霧(烟雾),,0
1211,仆,仆倒,,0
1212,赴,赴約(赴约),,0
1213,具,工具,,0
1214,懼,懼怕(惧怕),,0
1215,帶,攜帶(携带),,0
1217,太,太陽(太阳),,0
1218,泰,泰山,,0
1219,大,大人,,0
1223,賴,賴以(赖以),,0
1225,最,最後(最后),,0
1227,蓋,杯蓋(杯盖),杯蓋,0
1228,蓋,覆蓋(覆盖),覆蓋,0
1234,外,外面,,0
1237,會,會面(会面),會面,0
1238,會,會計(会计),會計,0
1239,會,懂得,懂得,0
1240,繪,繪畫(绘画),,0
1241,害,害怕,,0
1243,貝,貝殼(贝壳),,0
1246,沫,泡沫,,0
1249,廢,廢除(废除),,0
1251,肺,肺腑,,0
1252,寨,山寨,,0
1253,快,快速,,0
1254,話,說話(说话),,0
1255,喝,喝水,,0
1256,敗,失敗(失败),,0
1257,邁,邁步(迈步),,0
1258,叉,交叉,,0
1259,查,檢查(检查),檢查,0
1260,查,姓氏,查姓,0
1261,柴,木柴,,0
1263,佳,佳節(佳节),,0
1264,街,街道,,0
1266,鞋,鞋子,,0
1267,蛙,青蛙,,0
1269,娃,娃娃,,0
1270,牌,品牌,,0
1271,枴,枴杖(拐杖),,0
1272,夥,夥伴(伙伴),,0
1273,解,解決(解决),解決,0
1274,解,解款,解款,0
1275,解,姓氏,解姓,0
1277,矮,矮小,,0
1278,擺,搖擺(摇摆),,0
1279,買,購買(购买),,0
1280,拐,拐彎(拐弯),,0
1281,債,債務(债务),,0
1282,掛,懸掛(悬挂),,0
1286,畫,圖畫(图画),圖畫,0
1287,畫,繪畫(绘画),畫圖,0
1288,賣,出售,,0
1289,派,派遣,,0
1291,階,階梯(阶梯),,0
1295,皆,皆大歡喜(皆大欢喜),,0
1296,乖,乖巧,,0
1297,匯,詞彙(词汇),,0
1300,槐,槐樹(槐树),,0
1301,懷,懷念(怀念),,0
1303,排,排列,,0
1305,埋,埋藏,,0
1307,挨,挨打,,0
1308,殺,殺敵(杀敌),殺敵,0
1309,殺,殺哀,殺哀,0
1310,介,介紹(介绍),,0
1312,壞,破壞(破坏),,0
1313,怪,奇怪,,0
1314,屆,屆時(届时),,0
1317,界,世界,,0
1318,戒,戒備(戒备),,0
1320,械,機械(机械),,0
1321,拜,拜訪(拜访),,0
1322,扒,扒飯(扒饭),扒飯,0
1323,扒,扒皮,扒皮,0
1326,厲,嚴厲(严厉),,0
1327,例,例如,,0
1329,勵,鼓勵(鼓励),,0
1330,際,國際(国际),,0
1332,脆,清脆,,0
1333,歲,歲月(岁月),,0
1334,制,制度,,0
1336,製,製造(制造),,0
1338,逝,逝世,,0
1340,誓,誓言,,0
1341,說,說話(说话),講,0
1342,說,遊說(游说),以言服人,0
1343,說,喜悅(喜悦),同「悅」,0
1344,世,世界,,0
1346,稅,稅收(税收),,0
1347,勢,勢力(势力),,0
1349,藝,藝術(艺术),,0
1350,洩,排洩(排泄),排洩,0
1351,洩,洩洩(泄泄),洩洩,0
1352,銳,尖銳(尖锐),,0
1354,泄,泄露,,0
1356,蔽,遮蔽,,0
1357,彆,彆扭(别扭),,0
1359,斃,斃命(毙命),,0
1360,弊,弊端,,0
1361,幣,貨幣(货币),,0
1369,揭,揭示,,0
