id,聲,呼,等,韻,調,組,攝,單字,多音,组词,原註,罕度
8374,羣,開,三,魚,平,,遇,蘧,0,蘧然,,2
8375,羣,開,三,虞,平,,遇,蘧,0,蘧蘧,,2
8376,群,開,三,魚,平,見,遇,籧,0,籧篨,,3
8377,溪,開,三,業,入,,咸,呿,0,呿唫,,3
8378,溪,開,三,魚,去,,遇,呿,0,,,3
8379,溪,開,三,戈,平,,果,呿,0,,,3
8380,清,合,三,仙A,平,精,山,悛,0,悛改,,2
8381,溪,合,三,仙B,平,見,山,棬,0,杯棬,,3
8382,莊,合,三,仙B,平,,山,跧,0,跧伏,,3
8383,群,合,三,仙B,平,見,山,踡,0,踡縮,,3
8384,清,合,三,仙A,平,,山,縓,0,縓色,,3
8385,見,合,四,先,上,見,山,畎,0,畎畝(畎亩),,2
8386,溪,合,三,元,上,,臻,綣,0,繾綣(缱绻),,2
8387,溪,合,三,元,去,,臻,綣,0,綣綣(绻绻),,2
8388,溪,開,二,江,入,見,江,埆,0,磽埆,,3
8389,溪,開,二,覺,入,,江,慤,0,誠慤(诚悫),,2
8390,匣,開,二,江,入,影,江,确,0,確實(确实),,0
8391,溪,合,三,真B,平,見,臻,囷,0,囷倉,,3
8392,日,開,三,鹽A,平,日,咸,蚺,0,蚺蛇,,3
8393,日,開,三,陽,平,日,宕,瀼,0,瀼瀼,,3
8394,,,,,,,,鬤,0,,,3
8395,日,開,三,陽,去,日,宕,懹,0,,,3
8396,日,開,三,宵A,平,日,效,蕘,0,芻蕘(刍荛),,3
8397,日,開,三,宵A,上,日,效,遶,0,遶道,,3
8398,日,開,三,侵A,平,,深,鵀,0,戴鵀,,3
8399,日,開,三,侵A,去,,深,鵀,0,,,3
8400,孃,開,三,侵B,平,,深,鵀,0,,,3
8401,泥,開,四,先,上,,山,涊,0,涊涊,,3
8402,日,開,三,侵A,上,日,深,棯,0,,,3
8403,日,開,三,真A,去,日,臻,訒,0,訒言,,3
8404,日,開,三,真A,去,日,臻,牣,0,牣充,,3
8405,日,開,三,真A,去,日,臻,肕,0,,,3
8406,日,開,三,侵A,上,日,深,腍,0,腍熟,,3
8407,,,,,,,,𠮨,0,,,3
8408,日,開,三,之,平,,止,陾,0,,,3
8409,泥,開,一,侯,平,,流,陾,0,,,3
8410,日,開,三,真A,入,日,臻,馹,0,馹站,,3
8411,以,開,三,東,平,以,通,肜,0,,,3
8412,日,開,三,鍾,上,日,通,氄,0,氄毛,,3
8413,,,,,,,,禸,0,,,3
8414,心,合,三,虞,平,,遇,繻,0,繻帛,,3
8415,日,合,三,虞,平,,遇,繻,0,,,3
