id,單字,组词,原註,罕度
3975,拇,拇指,,1
3982,陋,簡陋(简陋),,1
3994,姆,保姆,,1
3998,幽,幽靜(幽静),,1
3999,彪,彪悍,,1
4003,謬,謬論(谬论),,1
4005,琳,琳琅,,1
4014,斟,斟酌,,1
4015,忱,熱忱(热忱),,1
4020,淫,淫穢(淫秽),,1
4023,寢,寢室(寝室),,1
4035,輯,編輯(编辑),,1
4050,揖,作揖,,1
4063,襟,衣襟,,1
4067,欽,欽佩(钦佩),,1
4068,吟,吟詩(吟诗),,1
4072,擒,擒拿,,1
4074,凜,凜冽(凛冽),,1
4080,稟,稟報(禀报),,1
4086,澀,羞澀(羞涩),,1
4091,泣,哭泣,,1
4094,邑,城邑,,1
4108,柑,柑橘,,1
4110,憨,憨厚,,1
4111,酣,酣睡,,1
4114,攬,包攬(包揽),,1
4116,欖,橄欖(橄榄),,1
4117,橄,橄欖(橄榄),,1
4125,蹋,糟蹋,,1
4137,怯,膽怯(胆怯),,1
4154,嵌,鑲嵌(镶嵌),,1
4162,匣,匣子,,1
4167,攙,攙扶(搀扶),,1
4169,杉,杉樹(杉树),,1
4170,摻,摻雜(掺杂),,1
4178,蘸,蘸醬(蘸酱),,1
4183,掐,掐住,,1
4188,凹,凹凸,,1
4195,鹼,鹼性(碱性),,1
4201,瞻,瞻仰,,1
4207,閻,閻羅(阎罗),,1
4210,斂,收斂(收敛),,1
4235,醃,醃製(腌制),,1
4245,奄,奄奄一息,奄奄一息,1
4246,奄,奄有,奄有,1
4247,貶,貶低(贬低),,1
4251,俺,俺,,1
4253,聶,聶(聂),,1
4255,霎,霎時(霎时),,1
4258,恬,恬靜(恬静),,1
4265,玷,玷污,,1
4277,頰,臉頰(脸颊),,1
4278,莢,豆莢(豆荚),,1
4280,挾,挾持(挟持),,1
4281,俠,俠客(侠客),,1
4286,譚,譚(谭),,1
4288,潭,深潭,,1
4298,函,信函,,1
4299,涵,涵養(涵养),,1
4301,庵,尼庵,,1
4303,纜,纜繩(缆绳),,1
4306,坎,坎坷,,1
4307,撼,震撼,,1
4308,勘,勘察,,1
4309,憾,遺憾(遗憾),,1
4323,蛤,圓蛤(圆蛤),圓蛤,1
4324,蛤,蛤蟆,蛤蟆,1
4331,歹,歹徒,,1
4338,踴,踴躍(踊跃),,1
4339,鴕,鴕鳥(鸵鸟),,1
4343,糯,糯米,,1
4345,焙,烘焙,,1
4360,砸,砸碎,,1
4374,剎,剎車(刹车),,1
4380,磺,硫磺,,1
