聲紐,呼,等,韻部,聲調,組,攝,單字
見,合,三,脂B,上,見,止,宄
見/見,合/開,三/三,支B/支B,上/上,,止/止,庋
見,合,三,脂B,上,見,止,匭
見,合,三,支B,上,,止,垝
見,合,三,支B,去,,止,攰
見,合,一,泰,去,,蟹,禬
見,合,一,魂,上,見,臻,緄
見,合,一,魂,上,見,臻,鯀
,,,,,,,䜇
見,合,一,桓,上,,山,琯
見,合,一,魂,去,見,臻,謴
溪,合,二,佳,平,見,蟹,咼
見,合,二,耕,入,見,梗,嘓
見,合,二,耕,入,見,梗,馘
見,合,一,歌,上,見,果,菓
見,合,一,唐,入,見,宕,椁
見,合,一,歌,上,見,果,蜾
曉,開,一,咍,上,影,蟹,醢
匣,開,一,談,平,影,咸,魽
曉/匣,開/開,一/一,覃/覃,平/去,,咸/咸,唅
,,,,,,,㮀
匣,開,一,寒,去,影,山,閈
匣,開,一,寒,去,影,山,釬
曉/曉,開/開,一/一,寒/寒,上/去,,山/山,暵
曉,開,一,覃,去,影,咸,𩞿
匣,開,二,庚,去,影,梗,絎
匣,開,一,唐,平,,宕,頏
溪,開,一,唐,去,,宕,頏
匣,開,一,豪,平,,效,噑
,,,,,,,譹
匣,開,二,覺,入,,江,翯
匣,開,一,豪,上,,效,灝
見,開,二,咸,入,見,咸,餄
匣,合,一,戈,平,,果,盉
匣,合,一,戈,去,,果,盉
匣/匣,開/開,一/四,麧/屑,入/入,,臻/山,齕
,,,,,,,啝
匣,開,一,寒,入,影,山,毼
匣,開,一,歌,平,影,果,魺
,,,,,,,㗿
影,開,一,曷,入,,山,餲
匣,開,一,曷,入,,山,鞨
匣,開,一,寒,入,影,山,鶡
曉,開,二,庚,平,影,梗,脝
匣,開,二,庚,平,,梗,桁
匣,開,一,唐,平,,宕,桁
曉,合,二,耕,平,影,梗,渹
匣,合,二,耕,平,影,梗,紘
匣,開,一,東,去,影,通,蕻
匣,合,二,庚,平,影,梗,黌
匣/匣,開/開,一/一,侯/侯,平/去,,流/流,睺
匣,開,一,侯,平,影,流,糇
匣,開,一,侯,平,影,流,餱
匣,開,一,侯,平,,流,鍭
曉,開,一,侯,上,,流,㖃
匣,開,一,侯,去,影,流,堠
匣,開,一,侯,去,,流,鱟
曉,開,一,模,平,影,遇,軤
溪,合,一,魂,入,見,臻,㧾
明,合,三,虞,上,,遇,膴
曉/明,開/合,一/三,模/虞,平/平,,遇/遇,膴
見,合,一,冬,入,見,通,䧼
匣,開,一,模,平,,遇,煳
匣,開,一,東,入,影,通,槲
,,,,,,,衚
匣/溪,開/開,一/二,屋/覺,入/入,,通/江,觳
精,開,四,齊,平,精,蟹,𧆌
曉,開,一,模,平,影,遇,虍
